0Sale_ID,horse,fuel,ceiling,cruise
101,112,30,8500,108
102,112,30,8500,108
103,112,30,8500,108
104,112,30,8500,111
105,110,39,8500,107
106,110,39,8500,107
107,110,39,8500,107
108,110,39,8500,107
109,110,39,8500,107
110,108,39,8500,106
111,115,29,8500,97
112,115,29,8500,97
113,115,29,8500,97
114,150,50,9500,115
115,150,50,9500,115
116,150,50,9500,115
117,150,50,9500,115
118,150,50,9500,115
119,150,50,9500,115
120,150,50,9500,115
121,150,57,9700,108
122,150,57,9700,108
123,150,57,9700,108
124,150,57,9700,108
125,150,57,9700,108
126,160,57,9700,111
127,165,57,9700,119
128,165,57,9700,119
129,180,57,9700,119
130,180,57,9700,119
131,180,57,9700,119
132,180,57,9700,119
133,180,57,9700,119
134,180,57,9700,119
135,210,37,13100,108
136,210,37,13100,108
137,210,42,13100,114
138,210,42,13100,114
139,210,42,13100,114
140,210,42,13100,114
141,210,42,13100,114
142,210,42,13100,114
143,210,42,13100,114
144,150,52,12000,115
145,150,52,12000,115
146,150,52,12000,115
147,150,52,12000,120
148,150,52,12000,120
149,150,52,12000,120
150,150,52,12000,120
151,160,54,12000,120
152,160,54,12000,122
153,160,54,12000,122
154,160,54,12000,122
155,160,54,12000,122
156,160,54,12000,122
157,160,68,12000,120
158,150,49,12000,113
159,180,49,12000,118
160,180,49,12000,119
161,180,49,12000,119
162,180,49,12000,119
163,180,60,12000,124
164,180,60,12000,130
165,180,60,12000,130
166,180,60,12000,130
167,180,60,12000,130
168,180,60,12000,130
169,180,48,9500,124
170,180,48,9500,124
171,180,48,9500,124
172,180,48,9500,124
173,180,48,9500,124
174,180,48,9500,124
175,180,48,9500,124
176,180,48,9500,122
177,180,48,9500,122
178,180,48,9500,125
179,180,48,9500,125
180,180,48,9500,125
181,180,48,9500,125
182,230,55,9500,117
183,230,55,9500,120
184,230,84,9500,123
185,230,84,9500,123
186,230,84,9500,123
187,230,84,9500,123
188,230,84,9500,121
189,230,80,9500,125
190,230,80,9500,125
191,230,80,9500,121
192,230,92,9500,124
193,230,92,9500,124
194,230,92,9500,124
195,230,92,9500,124
196,230,84,9500,123
197,260,81,17900,145
198,260,81,17900,145
199,260,81,17900,145
200,300,81,17900,146
201,300,81,17900,146
202,300,81,17900,146
203,300,81,17900,145
204,300,81,17900,145
205,300,74,17900,145
206,300,74,17900,145
207,300,84,17900,145
208,300,120,25000,186
209,200,50,14000,144
210,200,50,14000,148
211,200,60,14000,148
212,200,60,14000,148
213,200,60,14000,148
214,200,60,14000,148
215,200,60,14000,148
216,200,60,14000,148
217,200,64,13000,170
218,200,64,13000,170
219,200,64,13000,170
220,200,64,13000,170
221,200,64,13000,170
222,200,64,13000,170
223,210,73,13000,172
224,210,73,13000,172
225,210,73,13000,172
226,210,73,13000,172
227,210,73,13000,172
228,210,73,13000,172
229,180,90,15000,139
230,260,90,15000,157
231,260,90,15000,157
232,260,90,15000,158
233,260,90,15000,161
234,260,90,21000,198
235,260,130,15000,185
236,200,72,24000,172
237,200,72,24000,172
238,200,72,24000,172
239,200,72,24000,172
240,200,72,24000,172
241,200,72,24000,172
242,200,72,24000,172
243,260,68,16000,157
244,260,68,16000,162
245,260,68,16000,162
246,260,68,16000,162
247,285,80,16800,168
248,285,74,16800,168
249,285,74,16800,168
250,285,74,16800,168
251,285,74,16800,168
252,285,74,16800,168
253,285,74,16800,168
254,285,74,16800,168
255,285,74,16800,168
256,285,74,16800,168
257,310,90,17000,197
258,300,90,17000,170
259,310,90,17000,221
260,300,90,17000,170
261,310,90,17000,221
262,300,90,17000,221
263,310,90,17000,221
264,300,90,17000,221
265,310,90,17000,221
266,300,90,17000,221
267,300,90,17000,221
268,285,74,16000,194
269,285,74,16000,194
270,285,74,16000,194
271,285,74,16000,190
272,285,74,16000,190
273,210,76,28000,207
274,210,76,28000,202
275,310,90,23000,187
276,310,90,23000,187
277,310,90,23000,187
278,310,90,23000,187
279,310,90,23000,187
280,310,90,23000,187
281,300,102,20000,165
282,300,102,16700,158
283,300,102,20000,177
284,300,102,16000,150
285,300,102,20000,165
286,300,102,16000,158
287,300,102,20000,177
288,300,102,16000,150
289,300,102,20000,165
290,300,102,16000,158
291,300,102,20000,177
292,300,102,16000,150
293,300,102,20000,165
294,300,102,16000,158
295,300,102,20000,177
