obsn_num,house_price,income,in_cali,earthquake
1,0.902041758,0.092299604,1,0
2,0.814819005,0.090672174,1,0
3,0.833253512,0.102494265,1,0
4,0.803906926,0.104775356,1,0
5,0.820035424,0.090179204,1,0
6,0.783984685,0.096763306,1,0
7,0.901629824,0.102212029,1,0
8,0.842282937,0.090360149,1,0
9,0.923371008,0.104372273,1,0
10,0.894527398,0.098012943,1,0
11,0.853104768,0.120035745,1,0
12,0.658264204,0.101580756,1,0
13,0.965668664,0.116984517,1,0
14,0.991458385,0.085147692,1,0
15,0.889223335,0.108411569,1,0
16,1.017556431,0.111140484,1,0
17,0.965772392,0.112633746,1,0
18,0.817048803,0.110645823,1,0
19,0.93289234,0.124971124,1,0
20,0.61086135,0.08392299,1,0
21,0.83110373,0.094673046,1,0
22,0.695787568,0.105112575,1,0
23,0.25256168,0.093440042,1,1
24,0.757636078,0.104219755,1,0
25,0.796003548,0.109968819,1,0
26,0.882851711,0.111016648,1,0
27,0.74526152,0.098012491,1,0
28,0.927480398,0.0864539,1,0
29,0.807223111,0.094230964,1,0
30,0.874650613,0.098950857,1,0
31,0.855602055,0.084776481,1,0
32,0.834333122,0.088099696,1,0
33,0.937442496,0.119169614,1,0
34,0.682698788,0.09565082,1,0
35,0.708593333,0.080776762,1,0
36,0.745777634,0.087386889,1,0
37,0.903402418,0.090696718,1,0
38,0.954237558,0.103613985,1,0
39,1.067278804,0.088346295,1,0
40,0.696640814,0.092274723,1,0
41,1.037106605,0.107690416,1,0
42,0.801346622,0.095926109,1,0
43,1.038908452,0.103429649,1,0
44,0.894396343,0.101474122,1,0
45,0.860820685,0.102209781,1,0
46,0.884223909,0.090771311,1,0
47,0.868011919,0.112848902,1,0
48,0.822476789,0.11392791,1,0
49,0.935353994,0.100749114,1,0
50,0.998823402,0.118748779,1,0
51,0.543382614,0.112034201,0,0
52,0.366505733,0.106374123,0,0
53,0.918139525,0.12964772,0,0
54,0.744929568,0.111919883,0,0
55,0.81495822,0.121443662,0,0
56,0.695463067,0.081695698,0,0
57,0.784386901,0.107069499,0,0
58,0.344409938,0.092673813,0,0
59,0.702293073,0.102501884,0,0
60,0.652765769,0.093453594,0,0
61,0.621273388,0.104375476,0,0
62,0.574925234,0.10215565,0,0
63,0.71109042,0.104249473,0,0
64,0.722647919,0.10503492,0,0
65,0.539844255,0.099744315,0,0
66,0.668152807,0.105556841,0,0
67,0.582630321,0.093263329,0,0
68,0.746295858,0.097831704,0,0
69,0.541731324,0.078200449,0,0
70,0.497084205,0.101383251,0,0
71,0.657825613,0.088966656,0,0
72,0.487703558,0.0894838,0,0
73,0.543615353,0.099617419,0,0
74,0.57732684,0.107808604,0,0
75,0.632014484,0.098079518,0,0
76,0.482442284,0.092482445,0,0
77,0.620301379,0.088033731,0,0
78,0.56894487,0.083172881,0,0
79,0.603932359,0.109955337,0,0
80,0.610721242,0.097446959,0,0
81,0.508570348,0.087877314,0,0
82,0.656071157,0.09833246,0,0
83,0.486128397,0.096659628,0,0
84,0.618408744,0.10943137,0,0
85,0.408295976,0.095993847,0,0
86,0.347598282,0.089273852,0,0
87,0.63981,0.100047579,0,0
88,0.734795803,0.09492585,0,0
89,0.481946552,0.112671394,0,0
90,0.574746375,0.094821171,0,0
91,0.617418522,0.1015532,0,0
92,0.628628135,0.09481029,0,0
93,0.657577622,0.089527723,0,0
94,0.480810831,0.095933548,0,0
95,0.660360273,0.102801326,0,0
96,0.534123998,0.103030079,0,0
97,0.557557391,0.108626452,0,0
98,0.629834247,0.099033739,0,0
99,0.640870337,0.097246017,0,0
100,0.520456035,0.093184383,0,0
