obsn_num,house_price,income,in_cali,earthquake
1,0.890238179,0.086570728,1,0
2,0.927479487,0.104315837,1,0
3,0.899993421,0.096169218,1,0
4,0.740712182,0.086601538,1,0
5,0.712560519,0.103609516,1,0
6,0.848079315,0.093904399,1,0
7,0.970810223,0.092885614,1,0
8,0.831314732,0.096120116,1,0
9,1.112204823,0.126063465,1,0
10,0.877513059,0.085778077,1,0
11,0.322949834,0.119343566,1,1
12,1.216006491,0.110928291,1,0
13,0.854382207,0.102728198,1,0
14,0.672807008,0.097065627,1,0
15,0.841893383,0.107168874,1,0
16,1.032728554,0.114890636,1,0
17,0.77105605,0.090039754,1,0
18,0.967760212,0.088673047,1,0
19,0.840537674,0.091853894,1,0
20,0.914541645,0.094094962,1,0
21,1.021496238,0.095011019,1,0
22,0.659310365,0.082650162,1,0
23,0.755132942,0.081230159,1,0
24,0.853583597,0.096655021,1,0
25,0.788685348,0.113513216,1,0
26,0.708555111,0.088967748,1,0
27,0.66820839,0.093635799,1,0
28,0.738929282,0.077109792,1,0
29,0.777425702,0.101733092,1,0
30,0.898149851,0.105186083,1,0
31,0.774688705,0.095118094,1,0
32,0.931116502,0.109656305,1,0
33,0.658245465,0.093354472,1,1
34,0.931426231,0.095015252,1,0
35,0.620835694,0.094013673,1,0
36,0.915568943,0.105823019,1,0
37,0.897303357,0.103158251,1,0
38,0.840003315,0.109885649,1,0
39,0.652489616,0.093069049,1,0
40,0.977928529,0.102497361,1,0
41,0.697587203,0.095403374,1,0
42,0.953924204,0.102074432,1,0
43,0.961948117,0.095929043,1,0
44,0.835922354,0.09259415,1,0
45,0.879329503,0.093768004,1,0
46,0.930725677,0.105924057,1,0
47,0.848863594,0.091747333,1,0
48,0.801574694,0.106909129,1,0
49,0.114924177,0.083607414,1,1
50,0.784019124,0.107954269,1,0
51,0.484240137,0.102056896,0,0
52,0.688366209,0.10193157,0,0
53,0.692383767,0.102296628,0,0
54,0.589773744,0.104181858,0,0
55,0.70972757,0.11235446,0,0
56,0.401511316,0.097783287,0,0
57,0.666516598,0.107541746,0,0
58,0.446409027,0.112568041,0,0
59,0.525563118,0.095547137,0,0
60,0.483371629,0.102918839,0,0
61,0.641734017,0.106022431,0,0
62,0.463626619,0.097289733,0,0
63,0.594231128,0.105731231,0,0
64,0.522934267,0.082101722,0,0
65,0.468477809,0.097401279,0,0
66,0.51014739,0.103015846,0,0
67,0.717956646,0.104918585,0,0
68,0.790592738,0.108091052,0,0
69,0.786768567,0.10656596,0,0
70,0.619463077,0.102595038,0,0
71,0.786947316,0.129438419,0,0
72,0.621843319,0.108222736,0,0
73,0.601387257,0.102200428,0,0
74,0.556929119,0.108500881,0,0
75,0.405486575,0.081221523,0,0
76,0.58203996,0.096007864,0,0
77,0.567627381,0.091847879,0,0
78,0.550489502,0.105016641,0,0
79,0.647719142,0.104063653,0,0
80,0.774811487,0.121079925,0,0
81,0.661064354,0.107882585,0,0
82,0.652827173,0.091282105,0,0
83,0.508722094,0.106671053,0,0
84,0.584654472,0.112230389,0,0
85,0.561663175,0.098980255,0,0
86,0.446995924,0.095357429,0,0
87,0.669606231,0.091730205,0,0
88,0.608874262,0.099322692,0,0
89,0.701509524,0.108372427,0,0
90,0.7248398,0.120280509,0,0
91,0.66219889,0.098859846,0,0
92,0.531886191,0.095581885,0,0
93,0.653412013,0.107039824,0,0
94,0.52923744,0.090871075,0,0
95,0.465514596,0.088061479,0,0
96,0.557133623,0.108745102,0,0
97,0.436509783,0.090869495,0,0
98,0.720654048,0.089374165,0,0
99,0.501424722,0.088545221,0,0
100,0.622137868,0.113462763,0,0
